step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
1372,2023-07-03 10:09:41.277594819,1,193.35,225.0,-0.423151114649961,0.34638551464995876,0.060000000000002274,0.0167656
1425,2023-07-03 10:12:47.840833644,2,193.42,135.0,-0.041976118204301575,0.025398218204301576,0.0,0.0165779
6802,2023-07-03 13:32:37.930557152,2,193.41,90.0,-0.28115328204300666,0.25398218204301576,0.009999999999990905,0.0171711
26083,2023-07-03 14:24:53.528066343,1,192.97,201.0,-0.28052788204300666,0.25398218204301576,0.009999999999990905,0.0165457
27693,2023-07-03 14:32:01.853968232,2,192.75,118.0,-0.2707855820430158,0.25398218204301576,0.0,0.0168034
29648,2023-07-03 14:37:28.832095715,2,192.47,83.0,-0.09374736911272635,0.06719736911273545,0.009999999999990905,0.01655
34483,2023-07-03 14:49:49.520437040,1,191.92,121.0,-0.08355214241221029,0.056792142412190966,0.010000000000019327,0.01676
35818,2023-07-03 14:53:52.328627740,1,191.93,177.0,-0.14378469102150787,0.12699109102150788,0.0,0.0167936
36447,2023-07-03 14:56:57.246054808,2,192.04,169.0,-0.2706617820430158,0.25398218204301576,0.0,0.0166796
37762,2023-07-03 15:03:01.318604466,2,192.05,129.0,-0.0788926749764057,0.062212674976405695,0.0,0.01668
53871,2023-07-03 16:51:14.689396523,1,192.34,72.0,-0.1012009601272424,0.08423636012724241,0.0,0.0169646
55519,2023-07-03 16:56:12.343290173,2,192.44,72.0,-0.22438507577920122,0.20789337577920122,0.0,0.0164917
57606,2023-07-03 16:59:25.727292235,1,192.49,209.0,-0.25782887997889403,0.23138877997890311,0.009999999999990905,0.0164401
